song_id,Title,album_id,Primary_Artist,Featuring_Artist(s),Release_Date,is_title_track,Language
75,"Lie (Jimin Solo)",11,BTS,–,10-10-2016,No,Korean
76,"Stigma (V Solo)",11,BTS,–,10-10-2016,No,Korean
77,"First Love (SUGA Solo)",11,BTS,–,10-10-2016,No,Korean
78,"Reflection (RM Solo)",11,BTS,–,10-10-2016,No,Korean
79,"MAMA (j-hope Solo)",11,BTS,–,10-10-2016,No,Korean
80,"Awake (Jin Solo)",11,BTS,–,10-10-2016,No,Korean
81,"Lost (Vocal Line)",11,BTS,–,10-10-2016,No,Korean
82,BTS Cypher 4,11,BTS,–,10-10-2016,No,Korean
83,Am I Wrong,11,BTS,–,10-10-2016,No,Korean
84,"21세기 소녀 (21st Century Girl)",11,BTS,–,10-10-2016,No,Korean
85,"둘! 셋! (2! 3!) (Still Wishing For Better Days)",11,BTS,–,10-10-2016,No,Korean
86,"Interlude: Wings (Boyz II Men ver.)",11,BTS,–,10-10-2016,No,Korean
87,"봄날 (Spring Day)",12,BTS,–,13-02-2017,Yes,Korean
88,Not Today,12,BTS,–,13-02-2017,Yes,Korean
89,"Outro: Wings (Extended Version)",12,BTS,–,13-02-2017,No,Korean
90,A Supplementary Story: You Never Walk Alone,12,BTS,–,13-02-2017,No,Korean
91,"Intro: Serendipity (Jimin Solo)",13,BTS,–,18-09-2017,No,Korean
92,DNA,13,BTS,–,18-09-2017,Yes,Korean
93,Best of Me,13,BTS,–,18-09-2017,No,Korean
94,"보조개 (Dimple) (Illegal)",13,BTS,–,18-09-2017,No,Korean
95,Pied Piper,13,BTS,–,18-09-2017,No,Korean
96,"Skit: Billboard Music Award Speech",13,BTS,–,18-09-2017,No,Korean
97,MIC Drop,13,BTS,–,18-09-2017,No,Korean
98,"고민보다 Go (Go Go)"",13,BTS,–,18-09-2017,No,Korean
99,"Outro: Her",13,BTS,–,18-09-2017,No,Korean
100,"Sea (Hidden Track)",13,BTS,–,18-09-2017,No,Korean
101,"Intro: Singularity (V Solo)",14,BTS,–,18-05-2018,No,Korean
102,Fake Love,14,BTS,–,18-05-2018,Yes,Korean
103,"전하지 못한 진심 (The Truth Untold)",14,BTS,Steve Aoki (producer),18-05-2018,No,Korean
104,134340,14,BTS,–,18-05-2018,No,Korean
105,"낙원 (Paradise)"",14,BTS,–,18-05-2018,No,Korean
106,Love Maze,14,BTS,–,18-05-2018,No,Korean
107,Magic Shop,14,BTS,–,18-05-2018,No,Korean
108,"Airplane Pt.2",14,BTS,–,18-05-2018,No,Korean
109,Anpanman,14,BTS,–,18-05-2018,No,Korean
110,So What,14,BTS,–,18-05-2018,No,Korean
111,"Outro: Tear",14,BTS,–,18-05-2018,No,Korean
112,"Euphoria (Jungkook Solo)",15,BTS,–,24-08-2018,Yes,Korean
113,"Trivia 起 : Just Dance (j-hope Solo)",15,BTS,–,24-08-2018,No,Korean
114,"Trivia 承 : Love (RM Solo)",15,BTS,–,24-08-2018,No,Korean
115,"Trivia 轉 : Seesaw (SUGA Solo)",15,BTS,–,24-08-2018,No,Korean
116,I'm Fine,15,BTS,–,24-08-2018,No,Korean
117,IDOL,15,BTS,–,24-08-2018,Yes,Korean
118,"Answer: Love Myself",15,BTS,–,24-08-2018,No,Korean
119,IDOL (feat. Nicki Minaj),15,BTS,Nicki Minaj,24-08-2018,No,Korean/English
120,"Intro: Ringwanderung (Instrumental)",16,BTS,–,04-04-2018,No,Japanese
121,Don't Leave Me,16,BTS,–,04-04-2018,Yes,Japanese
122,Let Go,16,BTS,–,04-04-2018,Yes,Japanese
123,Crystal Snow,16,BTS,–,06-12-2017,Yes,Japanese
124,Heartbeat,17,BTS,–,28-06-2019,Yes,Korean/English
125,"Dream Glow (Jin, Jimin, Jungkook unit) (feat. Charli XCX)",17,BTS (Jin/Jimin/Jungkook),Charli XCX,07-06-2019,No,English/Korean
126,"A Brand New Day (V, j-hope unit) (feat. Zara Larsson)",17,BTS (V/j-hope),Zara Larsson,14-06-2019,No,Korean/English
127,"All Night (RM, SUGA unit) (feat. Juice WRLD)",17,BTS (RM/SUGA),Juice WRLD,21-06-2019,No,English
128,Intro: Persona (RM Solo),18,BTS,–,12-04-2019,No,Korean
129,Boy With Luv (feat. Halsey),18,BTS,Halsey,12-04-2019,Yes,Korean
130,소우주 (Mikrokosmos),18,BTS,–,12-04-2019,No,Korean
131,Make It Right,18,BTS,–,12-04-2019,No,Korean
132,HOME,18,BTS,–,12-04-2019,No,Korean
133,"Jamais Vu (Jin, J-Hope, Jungkook unit)",18,BTS,–,12-04-2019,No,Korean
134,Dionysus,18,BTS,–,12-04-2019,No,Korean
135,Interlude: Shadow (SUGA Solo),19,BTS,–,21-02-2020,No,Korean
136,Black Swan,19,BTS,–,21-02-2020,Yes,Korean
137,Filter (Jimin Solo),19,BTS,–,21-02-2020,No,Korean
138,시차 (My Time) (Jungkook Solo),19,BTS,–,21-02-2020,No,Korean
139,Loud­er than Bombs,19,BTS,–,21-02-2020,No,Korean/English
140,ON,19,BTS,–,21-02-2020,Yes,Korean
141,욱 (Ugh!) (Rap line unit),19,BTS,–,21-02-2020,No,Korean
142,00:00 (Zero O’Clock) (Vocal line unit),19,BTS,–,21-02-2020,No,Korean
143,Inner Child (V Solo),19,BTS,–,21-02-2020,No,Korean
144,친구 (Friends) (Jimin & V duet),19,BTS,–,21-02-2020,No,Korean
145,Moon (Jin Solo),19,BTS,–,21-02-2020,No,Korean
146,Respect (RM & SUGA duet),19,BTS,–,21-02-2020,No,Korean
147,We Are Bulletproof: The Eternal,19,BTS,–,21-02-2020,No,Korean
148,Outro: Ego (j-hope Solo),19,BTS,–,21-02-2020,No,Korean
149,ON (feat. Sia) (Alternative ver.),19,BTS,Sia,21-02-2020,No,English
150,Intro: Calling,20,BTS,–,15-07-2020,No,Japanese
151,Stay Gold,20,BTS,–,19-06-2020,Yes,Japanese
152,Your Eyes Tell (Jungkook Solo),20,BTS,–,15-07-2020,Yes,Japanese
153,Outro: The Journey,20,BTS,–,15-07-2020,No,Japanese
154,Life Goes On,21,BTS,–,20-11-2020,Yes,Korean
155,내 방을 여행하는 법 (Fly To My Room),21,BTS,–,20-11-2020,No,Korean
156,Blue & Grey,21,BTS,–,20-11-2020,No,Korean
157,Skit,21,BTS,–,20-11-2020,No,Korean
158,잠시 (Telepathy),21,BTS,–,20-11-2020,No,Korean
159,병 (Dis-ease),21,BTS,–,20-11-2020,No,Korean
160,Stay,21,BTS,–,20-11-2020,No,Korean/English
161,Dynamite,21,BTS,–,21-08-2020,Yes,English
162,Lights,22,BTS,–,03-07-2019,Yes,Japanese
163,Film Out,22,BTS,–,02-04-2021,Yes,Japanese
164,Butter,23,BTS,–,21-05-2021,Yes,English
165,Permission to Dance,23,BTS,–,09-07-2021,Yes,English
166,Born Singer,24,BTS,–,10-06-2022,No,Korean
167,Yet To Come (The Most Beautiful Moment),24,BTS,–,10-06-2022,Yes,Korean
168,Run BTS,24,BTS,–,10-06-2022,Yes,Korean
169,For Youth,24,BTS,–,10-06-2022,No,Korean
170,Young Love (Demo),24,BTS,–,10-06-2022,No,Korean
171,Quotation Mark (Demo),24,BTS,–,10-06-2022,No,Korean
172,Take Two,28,BTS,–,09-06-2023,Yes,Korean
173,The Planet,29,BTS,–,12-05-2023,Yes,Korean
174,Bad Decisions,30,Benny Blanco,BTS, Snoop Dogg,05-08-2022,Yes,English
175,My Universe,31,Coldplay,BTS,24-09-2021,Yes,English
176,Savage Love (Laxed – Siren Beat) [Remix],32,Jawsh 685 & Jason Derulo,BTS,02-10-2020,Yes,English
177,Waste It On Me,33,Steve Aoki,BTS,25-10-2018,Yes,English
178,Come Back Home,34,BTS,–,04-07-2017,Yes,Korean
