solo_id,Title,member_label,Release_Date,Release_Type,linked_album_id,Language,Notes
39,"Chicken Noodle Soup (feat. Becky G)","j-hope, Becky G",2019-09-27,Single,–,Korean/English,"j-hope solo single"
40,"SUGA’s Interlude (Halsey feat. SUGA)","SUGA, Halsey",2019-12-06,Collaboration,–,English,"Halsey album track ft. SUGA"
41,"Winter Flower (Younha feat. RM)","RM, Younha",2020-01-06,Collaboration,–,Korean,"Younha song ft. RM"
42,"Sweet Night (V Solo, Itaewon Class OST)","V",2020-03-13,OST,–,English,"All-English OST"
43,"Eight (에잇) (IU feat. SUGA)","SUGA, IU",2020-05-06,Collaboration,–,Korean,"IU digital single ft. SUGA"
44,"Moonlight","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
45,"Daechwita","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2 (Title track)"
46,"What Do You Think?","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
47,"Strange (feat. RM)","SUGA, RM",2020-05-22,Mixtape Track,–,Korean,"from D-2"
48,"28 (feat. NiiHWA)","SUGA, NiiHWA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
49,"Burn It (feat. MAX)","SUGA, MAX",2020-05-22,Mixtape Track,–,English/Korean,"from D-2"
50,"People","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
51,"Honsool (혼술)","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
52,"Interlude: Set Me Free","SUGA",2020-05-22,Mixtape Track,–,Korean,"from D-2"
53,"Dear My Friend (feat. Kim Jong-wan of Nell)","SUGA, Kim Jong-wan",2020-05-22,Mixtape Track,–,Korean,"from D-2"
54,"Blueberry Eyes (MAX feat. SUGA)","SUGA, MAX",2020-09-15,Collaboration,–,English,"MAX single ft. SUGA"
55,"Don’t (그러지 마) (eAeon feat. RM)","RM, eAeon",2021-04-30,Collaboration,–,Korean,"eAeon album track ft. RM"
56,"Yours (Jin Solo, Jirisan OST)","Jin",2021-11-07,OST,–,Korean,"Jirisan OST"
57,"Christmas Tree (V Solo, Our Beloved Summer OST)","V",2021-12-24,OST,–,Korean/English,"Our Beloved Summer OST"
58,"Stay Alive (Jungkook Solo, 7FATES: CHAKHO OST)","Jungkook",2022-02-11,OST,–,Korean,"Webtoon OST (prod. SUGA)"
59,"With You (Jimin & Ha Sung-woon)","Jimin, Ha Sung-woon",2022-04-24,OST,–,Korean,"Our Blues OST"
60,"That That (PSY feat. SUGA)","SUGA, PSY",2022-04-29,Collaboration,–,Korean,"PSY comeback single ft. SUGA"
61,"Left and Right (Charlie Puth feat. Jungkook)","Jungkook, Charlie Puth",2022-06-24,Collaboration,–,English,"Charlie Puth single ft Jungkook"
62,"Rush Hour (Crush feat. j-hope)","j-hope, Crush",2022-09-22,Collaboration,–,Korean,"Crush R&B single ft j-hope"
63,"Sexy Nukim (섹시느낌) (Balming Tiger feat. RM)","RM, Balming Tiger",2022-09-15,Collaboration,–,Korean/English,"Alt-hiphop single ft RM"
64,"The Astronaut (Jin Solo)","Jin",2022-10-28,Single,–,English,"Jin solo single (Coldplay co-write)"
65,"Dreamers (Jungkook Solo, FIFA World Cup 2022 OST)","Jungkook",2022-11-20,OST,–,English/Arabic,"World Cup soundtrack"
66,"Yun (feat. Erykah Badu)","RM, Erykah Badu",2022-12-02,Album Track,–,Korean/English,"from Indigo"
67,"Still Life (feat. Anderson .Paak)","RM, Anderson .Paak",2022-12-02,Album Track,–,English,"from Indigo"
68,"All Day (with Tablo)","RM, Tablo",2022-12-02,Album Track,–,Korean/English,"from Indigo"
69,"Forg_tful (건망증) (feat. Kim Sawol)","RM, Kim Sawol",2022-12-02,Album Track,–,Korean,"from Indigo"
70,"Closer (feat. Paul Blanco & Mahalia)","RM, Paul Blanco, Mahalia",2022-12-02,Album Track,–,English,"from Indigo"
71,"Change Pt.2","RM",2022-12-02,Album Track,–,English,"from Indigo"
72,"Lonely","RM",2022-12-02,Album Track,–,English,"from Indigo"
73,"Hectic (feat. Colde)","RM, Colde",2022-12-02,Album Track,–,Korean,"from Indigo"
74,"Wild Flower (with youjeen)","RM, youjeen",2022-12-02,Album Track,–,Korean,"from Indigo (lead single)"
75,"No.2 (feat. Park Ji-yoon)","RM, Park Ji-yoon",2022-12-02,Album Track,–,Korean,"from Indigo"
76,"Vibe (Taeyang feat. Jimin)","Jimin, Taeyang",2023-01-13,Collaboration,–,Korean,"Taeyang single ft Jimin"
77,"Face-off","Jimin",2023-03-24,Album Track,–,Korean,"from FACE"
78,"Interlude: Dive","Jimin",2023-03-24,Album Track,–,Instrumental,"from FACE"
79,"Like Crazy","Jimin",2023-03-24,Album Track,–,Korean,"from FACE (title track)"
80,"Alone","Jimin",2023-03-24,Album Track,–,Korean,"from FACE"
81,"Set Me Free Pt.2","Jimin",2023-03-17,Pre-release Single,–,Korean,"FACE pre-release single"
82,"on the street (with J. Cole)","j-hope, J. Cole",2023-03-03,Collaboration,–,English,"j-hope single ft J. Cole"
83,"D-Day","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY"
84,"Haegeum (해금)","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY (title track)"
85,"HUH?! (feat. j-hope)","SUGA, j-hope",2023-04-21,Album Track,–,Korean,"from D-DAY"
86,"Amygdala","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY"
87,"SDL","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY"
88,"People Pt.2 (feat. IU)","SUGA, IU",2023-04-07,Pre-release Single,–,Korean,"from D-DAY pre-release"
89,"Polar Night (극야)","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY"
90,"Interlude: Dawn","SUGA",2023-04-21,Album Track,–,Instrumental,"from D-DAY"
91,"Snooze (feat. Ryuichi Sakamoto & Woosung)","SUGA, Ryuichi Sakamoto, Woosung",2023-04-21,Album Track,–,Korean/English,"from D-DAY"
92,"Life Goes On (Agust D Solo ver.)","SUGA",2023-04-21,Album Track,–,Korean,"from D-DAY"
93,"Angel Pt.1 (Kodak Black & NLE Choppa feat. Jimin, JVKE, Muni Long)","Jimin, Kodak Black, NLE Choppa, JVKE, Muni Long",2023-05-18,Collaboration,–,English,"Fast X soundtrack"
94,"Seven (feat. Latto)","Jungkook, Latto",2023-07-14,Single,–,English,"Jungkook solo debut single"
95,"Rainy Days","V",2023-08-11,Pre-release Track,–,English,"from Layover"
96,"Blue","V",2023-09-08,Album Track,–,Korean,"from Layover"
97,"Love Me Again","V",2023-08-11,Pre-release Track,–,English,"from Layover"
98,"Slow Dancing","V",2023-09-08,Album Track,–,English,"from Layover (title track)"
99,"For Us","V",2023-09-08,Album Track,–,English,"from Layover"
100,"3D (feat. Jack Harlow)","Jungkook, Jack Harlow",2023-09-29,Single,–,English,"Jungkook second solo single"
101,"Closer to You (feat. Major Lazer)","Jungkook, Major Lazer",2023-11-03,Album Track,–,English,"from GOLDEN"
102,"Standing Next To You","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
103,"Yes or No","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
104,"Please Don’t Change","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
105,"Hate You","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
106,"Somebody","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
107,"Too Sad to Dance","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN"
108,"Shot Glass of Tears","Jungkook",2023-11-03,Album Track,–,English,"from GOLDEN (closing track)"
